features.3,features.6,features.8,features.10,classifier.1,classifier.4,acc
6,2,2,7,2,7,0.8836172583983393
4,4,5,3,7,2,2.4916414583665003
7,3,2,3,2,5,0.8995382900811921
6,4,6,5,3,7,3.0647985989492144
3,4,2,5,7,2,0.9473013851297618
4,6,3,6,5,7,12.195510269065435
5,5,5,2,4,2,1.034867059385447
2,4,6,3,5,2,0.9552619009711827
6,3,5,7,5,2,0.9552619009711827
3,7,7,2,2,7,1.034867059385447
5,4,4,5,4,6,5.118611686037255
2,4,7,6,7,3,5.8669001751313505
6,2,6,6,7,3,5.484795414742871
4,4,6,4,2,7,0.8995382900811921
4,6,7,5,4,5,2.6747333227193137
7,2,4,4,3,4,1.1065117019582904
2,3,6,6,5,7,8.318739054290713
5,5,4,2,4,7,0.9632224168126147
2,5,5,2,3,7,0.9632224168126147
6,3,3,4,7,2,2.061773602929473
4,2,7,5,4,7,4.330520617736033
4,4,4,5,4,2,0.9074988059226241
7,2,2,6,3,6,1.0507880910682998
6,4,5,5,4,2,1.0189460277025941
5,2,4,4,2,6,1.026906543544026
5,4,6,2,5,3,1.0109855118611732
6,6,2,6,3,5,0.9313803534468978
5,4,6,7,2,2,0.9313803534468978
7,4,2,6,6,4,1.1622353128482699
7,7,7,7,3,5,2.181181340550864
4,4,2,6,7,5,8.85209361566629
6,3,6,6,2,5,0.8517751950326335
5,2,6,6,7,4,7.164464257283876
7,6,6,7,6,7,63.77169240566789
3,4,6,3,2,7,1.830918643528101
6,2,4,7,3,7,2.197102372233717
3,7,6,4,5,6,16.725043782837123
3,2,3,2,3,3,0.9950644801783204
4,7,6,7,6,2,1.9901289603566297
2,7,7,3,7,3,2.4597993950007946
2,5,2,7,3,3,0.8517751950326335
3,5,6,6,4,5,1.8786817385766597
4,4,6,6,4,3,0.9711829326540355
4,2,5,7,7,6,12.036299952236906
2,3,4,3,4,3,0.8995382900811921
3,7,6,6,6,7,51.03486705938545
7,5,4,3,3,3,1.0507880910682998
6,4,2,6,7,5,12.394523165101102
4,4,3,5,5,3,2.197102372233717
4,3,4,5,3,7,2.626970227670755
6,2,2,6,5,4,0.9950644801783204
2,5,7,4,7,2,2.4677599108422266
6,6,5,5,5,5,42.54099665658335
2,2,5,3,4,2,1.0030249960197413
5,4,2,4,4,6,1.034867059385447
2,7,4,5,7,6,15.841426524438784
7,4,4,2,2,2,0.9791434484954675
6,2,2,3,7,2,0.9074988059226241
3,6,6,5,5,5,17.68826619964974
6,4,6,5,6,2,3.0647985989492144
3,4,4,6,3,3,1.026906543544026
4,3,5,5,7,6,41.63349785066073
5,3,6,2,2,5,0.9791434484954675
4,3,4,7,6,5,28.411081038051268
6,4,2,6,7,2,1.1622353128482699
6,5,6,4,4,5,6.7743989810539755
5,2,2,3,3,3,0.9950644801783204
6,7,3,5,6,5,30.234039165737936
5,5,6,7,5,4,13.007482884890942
5,2,7,3,2,2,1.0189460277025941
2,4,7,3,4,7,1.1303932494825641
5,7,2,2,4,3,1.0189460277025941
2,3,7,2,5,2,1.026906543544026
7,6,2,7,3,4,0.923419837605477
3,3,5,4,2,5,1.4488138831396324
4,3,5,6,3,4,0.8915777742397712
5,6,3,7,7,7,43.99777105556441
5,4,3,3,3,3,0.8438146791912127
6,4,7,5,3,6,3.239929947460596
3,3,2,7,4,4,0.9791434484954675
7,4,4,4,7,5,37.517911160643216
5,6,5,2,7,6,5.1822958127686665
5,6,3,6,7,5,34.00732367457411
5,2,2,6,6,2,0.9552619009711827
6,2,3,6,6,6,8.955580321604838
4,2,5,2,6,7,0.9950644801783204
6,6,3,5,3,2,1.026906543544026
