layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer1.2.conv1,layer1.2.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer2.2.conv1,layer2.2.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer3.2.conv1,layer3.2.conv2,acc
5,3,3,4,6,4,4,4,5,8,5,5,5,5,6,8,5,6,3,4,90.08
3,6,6,6,5,4,8,3,3,3,4,3,3,4,3,3,4,8,5,8,89.08
6,3,6,8,3,3,3,6,6,3,6,3,8,6,4,4,8,4,4,3,90.18
8,3,4,8,4,5,4,3,8,5,8,4,3,6,5,5,6,8,8,8,90.74
4,8,5,8,8,3,3,5,3,5,8,5,8,6,6,6,8,3,4,8,90.2
6,3,3,3,8,5,5,8,8,8,5,5,8,5,8,6,3,5,5,6,90.4
6,8,6,3,6,8,6,5,3,8,6,3,5,6,4,3,6,6,8,5,90.72
8,4,3,6,4,5,4,5,4,4,5,8,3,5,8,3,3,8,6,5,90.36
5,8,6,8,3,8,4,5,5,3,4,5,6,4,3,6,6,4,3,5,89.96
8,6,6,6,6,6,4,5,5,6,5,6,5,3,4,8,8,6,5,6,91.10000000000001
5,8,5,8,8,4,5,4,3,6,4,4,4,6,8,3,8,6,4,6,91.12
8,3,5,6,4,8,4,8,3,8,3,5,8,8,3,8,3,5,5,6,90.12
6,3,5,8,8,5,5,3,8,6,5,5,3,4,3,8,8,3,8,4,90.22
8,5,6,5,3,4,6,8,6,8,5,4,8,3,4,5,5,3,5,5,90.34
4,4,4,6,4,6,3,8,8,8,5,5,5,6,6,6,3,6,3,5,90.42
8,5,4,3,8,8,5,4,5,3,5,8,5,3,6,8,8,3,6,3,90.62
4,4,4,6,5,8,8,4,8,8,6,5,8,8,8,4,5,8,3,3,90.46
4,4,3,6,3,3,6,8,3,3,5,6,5,5,8,4,3,8,5,4,89.88000000000001
6,5,3,6,3,8,6,6,5,5,8,8,3,5,8,3,4,8,4,3,90.82000000000001
4,8,5,5,8,4,6,8,5,3,6,6,8,4,3,8,3,8,6,8,89.84
6,4,8,3,6,3,3,8,5,6,3,6,5,6,4,8,5,6,6,4,90.42
4,3,5,8,6,8,4,8,3,5,5,3,4,6,4,3,6,5,3,3,90.44
4,8,8,5,4,6,3,5,4,6,4,3,3,8,8,6,5,6,5,3,91.12
6,8,3,8,6,6,5,5,4,6,8,5,5,8,5,5,6,8,4,5,90.18
8,6,4,3,4,8,3,6,4,3,6,5,5,4,8,8,3,4,5,4,90.3
4,4,3,6,3,5,6,6,3,8,6,6,3,5,8,3,5,5,8,5,90.58
8,8,8,8,8,3,8,8,8,5,8,6,6,8,3,4,5,6,3,6,90.94
5,5,8,6,5,3,5,4,8,5,6,8,3,4,6,4,5,5,8,8,91.14
6,6,6,8,8,3,5,8,4,4,8,8,4,6,4,4,4,4,5,8,91.14
5,3,8,3,5,8,3,4,5,3,4,4,6,5,4,8,8,8,6,5,91.17999999999999
6,3,8,3,3,4,8,8,4,5,6,8,6,6,4,5,8,6,6,8,89.34
4,4,8,3,3,4,6,8,8,4,6,6,6,5,6,4,8,5,8,4,90.24
5,8,4,8,5,6,3,3,3,3,3,3,5,5,8,6,6,4,8,3,89.8
5,6,8,3,8,3,8,3,6,5,4,5,8,8,4,6,5,8,3,8,90.24
6,5,5,8,4,4,3,3,3,3,5,8,3,4,5,6,5,5,3,5,90.62
4,4,5,3,6,3,3,5,4,3,3,6,4,8,5,3,8,5,5,5,89.9
6,5,3,6,5,3,5,8,6,5,6,8,4,8,3,5,6,5,5,8,90.78
8,5,5,6,4,5,3,6,6,3,3,4,4,3,5,6,5,4,8,6,90.5
3,8,8,8,8,6,3,3,8,3,8,3,5,3,8,6,8,4,6,5,89.92
6,4,3,5,8,5,6,3,8,4,3,6,6,8,3,5,6,4,8,6,90.18
8,4,8,4,5,6,8,8,6,5,5,8,5,8,4,3,4,6,5,8,89.98
8,5,6,8,6,5,6,6,5,8,8,5,5,6,4,5,8,3,5,6,91.0
4,6,5,5,8,8,3,5,8,3,5,5,6,8,5,5,3,6,3,3,89.88000000000001
6,6,8,6,6,4,6,4,5,6,4,4,3,4,5,4,3,3,5,8,90.22
3,6,5,4,6,5,6,8,6,3,5,6,4,4,3,4,8,5,8,4,90.4
6,5,3,8,4,8,5,5,6,6,5,6,5,8,3,8,3,8,4,5,89.68
4,6,8,3,3,8,3,6,6,6,6,8,8,6,3,3,3,8,8,3,90.02
5,3,5,6,8,8,5,5,5,6,5,8,5,5,5,3,6,5,4,4,91.48
5,5,3,5,8,4,8,3,3,8,5,5,4,3,6,3,6,3,5,4,89.82
6,3,6,3,5,5,3,8,5,3,4,4,4,5,3,6,4,6,4,4,90.25999999999999
5,6,5,5,6,6,3,3,3,3,8,5,4,5,6,8,3,5,5,6,90.42
3,5,3,4,4,4,5,8,5,4,6,8,4,4,3,4,6,8,6,8,90.34
8,5,6,8,8,4,3,8,3,5,8,3,3,4,4,4,8,3,5,8,90.7
6,3,3,8,5,4,6,6,3,4,3,5,6,3,6,8,8,6,4,4,89.88000000000001
8,3,4,6,6,6,6,8,5,3,8,3,3,8,6,6,4,6,8,6,90.46
3,8,6,3,5,5,5,5,4,8,3,4,8,3,3,3,8,8,4,6,89.78
4,8,8,5,6,3,5,6,3,5,8,5,4,5,5,3,5,8,3,6,90.34
6,5,8,6,4,8,3,8,5,5,4,4,4,6,5,4,5,8,3,5,91.10000000000001
4,6,8,3,3,8,6,6,4,5,5,3,3,8,3,4,4,3,5,3,89.66
4,3,3,3,6,8,3,4,8,4,5,5,3,4,6,6,8,4,4,5,90.72
5,6,5,3,5,3,6,8,3,5,3,5,8,3,6,3,8,5,5,3,90.28
6,6,3,5,8,5,8,8,6,3,8,3,5,3,6,3,6,4,4,4,89.9
6,8,4,8,8,5,3,3,6,8,8,8,4,6,6,3,8,8,4,5,91.12
8,6,6,3,3,4,4,5,4,5,3,5,5,6,8,5,5,5,8,8,89.75999999999999
4,3,5,8,8,6,8,4,3,8,4,6,6,6,5,6,5,8,5,8,90.64
5,6,6,5,3,4,3,4,6,5,6,6,4,4,6,3,6,6,5,3,91.02
4,8,5,8,5,3,5,4,6,4,5,8,4,6,3,6,6,4,4,4,90.66
6,3,5,4,5,3,4,8,8,4,3,8,5,8,5,8,3,4,6,6,90.36
6,4,6,8,8,5,5,4,8,3,5,5,8,5,6,4,4,3,4,6,89.92
5,5,3,4,4,3,4,6,5,8,8,5,6,6,8,5,8,4,6,3,90.88000000000001
6,3,3,6,6,8,6,5,5,8,8,4,5,6,6,3,3,5,6,5,90.08
3,5,4,6,3,6,4,5,4,5,6,5,4,8,3,5,6,3,6,8,89.8
5,4,8,6,5,3,5,6,3,6,3,8,6,6,3,3,8,6,3,4,90.08
8,4,3,8,3,6,3,3,3,5,5,4,6,4,4,3,8,4,5,5,90.56
3,5,4,6,5,4,4,6,4,4,4,6,6,8,3,4,6,4,8,5,89.86
3,3,8,5,3,3,3,8,5,3,5,5,5,6,8,3,5,8,8,3,89.74
5,6,4,6,6,8,6,4,6,4,5,3,3,8,5,3,4,5,5,5,89.75999999999999
4,8,8,4,5,3,4,6,8,4,3,4,3,6,6,6,6,6,8,6,90.64
3,3,6,8,5,4,8,6,5,6,5,5,8,5,4,8,3,5,4,4,90.60000000000001
8,4,3,3,8,3,8,3,4,8,4,5,4,3,4,4,4,6,3,4,89.86
4,4,4,6,6,8,3,8,3,4,6,3,5,5,8,3,3,3,4,5,89.38000000000001
3,4,4,8,4,6,4,4,5,6,8,5,4,4,4,5,6,3,4,3,90.10000000000001
3,8,4,6,6,6,4,3,4,4,4,3,5,3,3,4,5,3,3,4,89.88000000000001
5,6,4,5,4,4,3,8,5,6,8,3,5,5,5,6,6,8,4,4,91.0
5,8,4,5,8,4,4,5,3,4,4,5,3,6,5,5,5,5,8,5,91.4
4,4,5,8,8,4,8,4,6,8,5,3,4,6,3,3,6,8,5,8,90.18
5,3,4,3,5,5,3,8,3,5,3,4,8,5,4,5,6,6,4,3,90.03999999999999
4,5,6,4,6,8,8,6,6,8,4,4,4,6,5,3,3,6,3,6,90.58
8,3,6,6,4,3,6,5,8,5,5,3,5,4,8,6,4,6,6,5,90.24
4,4,3,5,6,8,3,5,8,6,4,4,5,6,8,6,6,8,8,6,90.06
8,5,3,6,6,4,3,5,8,5,6,6,4,8,6,3,8,6,5,8,91.02
3,6,8,5,5,4,8,5,6,5,5,8,3,6,8,3,6,3,6,5,90.64
8,3,4,3,3,4,3,4,5,3,6,4,8,5,5,6,8,8,5,8,89.78
4,6,4,5,6,5,4,5,5,6,3,3,8,6,4,4,8,8,8,6,90.38000000000001
6,3,5,5,4,8,5,6,8,3,4,3,5,4,5,6,6,6,5,3,90.22
6,5,4,4,5,6,3,6,4,6,6,5,8,3,8,5,3,8,6,5,89.72
6,3,6,4,8,4,4,8,8,5,6,3,5,6,3,6,6,6,4,5,90.44
5,5,4,3,8,4,5,4,8,3,8,6,5,8,4,6,8,5,3,4,90.53999999999999
8,4,6,4,4,5,5,4,8,3,3,4,5,5,8,4,6,3,6,4,89.72
4,5,5,6,6,5,3,8,4,6,6,3,6,3,3,6,8,4,6,8,90.10000000000001
6,4,8,6,8,4,5,3,3,8,8,3,8,3,8,6,3,3,3,4,90.34
8,4,3,4,6,6,5,4,3,4,4,8,8,5,5,3,4,8,6,6,90.96
4,3,3,3,5,5,5,8,4,4,3,8,3,3,3,4,5,5,3,8,90.14
6,6,8,8,8,4,8,3,5,5,8,5,3,4,4,5,3,8,5,8,89.7
5,5,5,4,3,6,8,3,5,8,3,8,8,4,6,5,3,3,6,6,89.64
4,6,5,6,4,3,6,4,4,4,5,8,3,4,8,6,5,3,5,8,91.02
6,8,8,8,4,8,6,3,6,6,6,3,5,8,3,3,5,3,4,6,90.25999999999999
4,6,3,6,6,8,3,3,8,8,6,6,5,5,8,8,3,4,4,6,90.38000000000001
5,8,4,3,3,4,5,6,4,4,3,4,6,6,8,5,6,5,6,8,90.60000000000001
8,8,4,3,4,3,5,6,3,4,5,3,3,6,5,4,5,8,6,4,90.38000000000001
8,8,3,8,8,5,3,6,8,8,8,4,4,5,3,6,6,8,3,5,90.82000000000001
3,6,3,8,6,4,8,4,6,3,4,3,6,3,3,4,6,5,5,5,89.88000000000001
5,4,5,6,8,5,6,5,4,6,4,4,5,4,4,6,3,3,5,3,90.4
3,8,6,8,8,8,4,5,5,3,5,6,3,5,4,3,3,5,5,3,90.34
6,8,3,8,6,8,3,6,4,5,3,8,3,4,5,6,6,6,5,3,90.22
5,6,6,5,6,8,8,8,8,8,6,3,3,3,5,3,4,3,5,8,90.25999999999999
5,4,5,4,6,4,4,3,8,5,3,8,4,4,8,5,5,6,6,5,90.38000000000001
8,5,4,5,8,6,3,4,5,8,3,3,8,4,4,3,3,3,4,5,90.08
5,3,8,8,6,3,3,3,4,6,5,5,8,4,5,8,4,5,4,5,90.5
6,4,5,5,5,3,4,5,8,4,8,3,3,8,4,8,3,5,5,3,90.03999999999999
5,5,5,6,6,5,4,5,6,6,5,6,6,5,6,5,5,4,4,6,91.02
5,5,4,6,8,8,4,3,3,4,3,6,3,3,4,5,6,6,4,6,90.66
3,6,8,5,4,4,4,4,8,8,5,6,8,6,6,8,4,6,5,6,90.03999999999999
3,4,6,5,3,8,3,8,6,3,4,4,4,4,6,6,5,6,5,6,90.36
5,5,5,3,8,3,8,5,3,8,5,6,4,4,3,5,5,6,8,8,90.94
8,6,5,8,6,3,4,4,8,5,3,4,5,4,3,5,6,4,3,5,89.98
4,8,3,5,8,3,5,4,3,3,3,3,4,5,4,5,6,6,6,3,90.36
5,4,3,6,8,4,6,8,3,8,6,6,8,8,6,5,8,6,3,4,90.88000000000001
5,5,3,3,5,3,4,3,6,4,5,6,5,8,3,6,6,3,3,8,89.84
8,6,4,8,4,8,4,4,4,5,5,8,3,3,3,4,8,8,5,3,90.03999999999999
5,5,4,4,8,4,4,3,5,6,4,4,4,8,5,3,6,4,8,6,90.52
6,3,8,5,6,5,5,6,4,4,3,6,6,4,3,3,4,5,5,6,90.28
4,5,3,6,8,6,6,8,5,3,6,5,3,4,3,3,8,8,3,8,89.60000000000001
5,8,3,6,5,6,4,4,4,6,3,5,3,5,8,4,5,8,5,8,90.3
3,8,5,8,5,8,6,3,4,4,6,4,8,5,6,6,6,6,5,5,90.86
5,8,3,8,3,3,5,3,5,3,6,6,3,3,8,4,3,4,6,8,89.88000000000001
3,6,6,5,4,8,3,3,4,6,6,8,8,5,3,4,6,8,4,5,89.72
8,3,4,6,3,6,8,4,3,4,5,4,6,3,5,3,4,8,6,6,90.06
3,5,6,5,6,6,8,5,3,3,8,5,8,8,5,3,5,4,6,8,89.7
6,5,8,3,6,3,5,3,5,6,8,5,5,6,4,6,3,5,5,5,90.75999999999999
4,4,8,8,3,6,8,5,6,3,3,6,8,6,6,4,5,5,4,5,89.7
4,3,8,3,8,5,4,6,6,8,8,4,6,3,3,4,6,5,4,3,90.2
4,3,8,6,4,8,8,3,5,5,6,5,4,4,6,4,6,8,5,5,91.5
5,6,6,8,6,6,5,4,6,3,4,6,6,8,5,8,6,4,4,5,90.86
3,6,6,4,6,4,6,5,5,4,3,6,4,5,4,5,8,5,4,3,89.92
5,4,5,8,4,5,5,3,8,4,4,8,3,8,5,3,4,6,3,5,90.14
5,8,4,8,3,3,5,4,5,3,5,3,6,4,6,8,8,3,4,4,89.88000000000001
5,8,6,3,3,3,5,5,3,4,5,5,8,8,5,5,4,4,8,5,90.60000000000001
6,8,6,6,3,5,6,8,5,5,3,5,8,3,5,6,3,3,3,5,89.75999999999999
8,4,4,3,5,8,3,6,8,5,5,5,6,6,4,3,6,5,3,3,90.94
3,8,5,6,5,3,5,8,8,8,4,6,3,5,4,3,4,8,5,5,90.12
5,4,5,8,5,5,6,5,8,3,3,6,4,8,8,8,3,6,5,6,90.3
4,4,3,8,6,6,6,8,8,6,5,8,6,4,3,3,3,6,6,5,89.98
5,8,3,6,6,3,3,5,3,5,8,3,5,8,3,3,6,5,3,6,90.10000000000001
4,3,3,5,4,8,6,5,3,6,3,5,4,4,3,6,5,3,8,3,90.38000000000001
3,3,8,8,8,3,3,8,5,5,3,4,4,3,4,4,4,3,5,3,90.0
6,6,3,8,8,4,3,5,6,3,4,5,4,4,3,3,8,6,5,4,90.5
4,5,6,4,3,3,8,4,8,5,4,5,5,4,4,5,3,3,3,4,89.8
5,5,5,4,6,3,8,4,8,3,3,6,6,6,8,3,4,8,3,6,90.86
4,8,4,4,4,6,4,8,8,8,4,6,3,3,8,6,4,8,4,5,89.44
8,5,4,8,4,5,6,5,5,6,6,8,3,5,4,6,6,3,6,8,90.88000000000001
8,3,6,5,3,4,3,6,8,6,3,4,8,3,6,4,5,5,5,5,90.34
5,6,3,5,4,5,8,5,3,5,8,6,8,4,8,6,3,6,3,8,90.03999999999999
8,6,4,4,8,5,3,3,4,8,4,3,6,6,8,8,3,6,8,3,90.36
4,6,3,8,8,4,6,5,3,8,4,8,8,6,4,4,6,8,6,6,89.8
3,5,8,8,8,8,5,3,8,4,6,6,3,6,5,3,6,3,6,4,90.82000000000001
6,8,6,8,6,3,6,4,5,5,5,4,5,5,8,3,5,5,8,6,90.78
