l1,l2,l3,l4,l5,l6,l7,acc
4,8,3,3,6,3,3,10.88
4,6,8,5,3,8,8,9.899999999999999
4,8,5,8,3,3,4,9.58
8,3,8,4,4,3,8,10.640000000000004
3,8,3,5,3,8,8,10.060000000000002
5,5,6,8,5,8,4,69.44
3,5,4,5,3,8,6,10.119999999999996
8,6,5,4,3,8,4,10.780000000000001
6,5,6,4,5,5,4,22.46
6,8,5,8,5,3,8,10.68
8,3,8,5,4,4,4,9.940000000000005
4,6,3,4,3,5,6,9.340000000000003
6,4,4,8,8,8,6,70.76
6,4,5,6,5,5,3,9.960000000000003
5,5,8,5,3,8,5,10.240000000000006
5,4,8,5,5,3,8,10.119999999999996
4,8,6,3,4,6,3,10.440000000000005
4,8,6,5,4,8,4,18.14
8,4,5,8,3,8,6,9.660000000000002
3,3,8,8,4,5,6,10.040000000000004
3,5,6,4,5,8,5,28.939999999999998
6,4,8,5,6,5,8,77.94
6,3,5,6,8,8,4,9.919999999999995
8,6,4,8,3,6,8,10.299999999999997
4,3,5,8,5,8,6,38.7
4,3,8,3,5,3,5,10.119999999999996
8,8,6,5,4,4,5,26.52
8,6,8,5,8,5,8,86.02
5,3,4,3,6,8,6,10.08
3,3,8,5,6,3,5,9.219999999999995
3,4,5,3,6,5,6,10.060000000000002
5,6,5,6,4,5,5,65.22
5,6,5,4,6,4,3,10.099999999999998
3,8,3,4,6,5,6,9.940000000000005
6,8,8,3,5,8,6,27.580000000000005
8,3,8,4,5,8,4,10.540000000000004
4,4,3,8,3,4,6,9.119999999999994
5,5,8,6,8,6,4,74.9
5,4,4,6,6,5,5,65.88000000000001
8,6,3,4,8,4,6,10.08
5,5,3,4,5,8,8,9.78
5,3,6,6,4,5,8,10.460000000000003
6,8,3,6,3,4,6,9.940000000000005
6,3,3,6,5,4,6,9.68
4,5,5,4,8,6,6,64.68
6,4,8,6,3,8,4,9.599999999999998
5,6,6,5,5,6,4,67.17999999999999
6,6,3,4,3,6,8,10.58
5,8,3,3,5,8,3,10.440000000000005
4,6,6,6,3,8,3,10.740000000000006
5,3,5,4,8,6,3,10.58
8,4,6,4,3,6,6,10.399999999999999
3,4,4,4,8,3,6,9.919999999999995
4,4,6,8,5,4,8,49.53999999999999
4,5,8,5,5,4,3,10.719999999999995
4,8,8,4,3,5,3,9.860000000000003
8,6,3,8,3,5,4,9.299999999999997
8,5,4,4,8,5,3,10.98
5,8,5,5,3,6,5,9.68
8,5,5,3,6,8,8,45.52
3,8,5,6,6,6,8,64.88000000000001
4,3,8,3,3,4,5,9.799999999999997
6,5,5,8,5,4,5,65.0
3,5,5,4,8,3,6,10.360000000000003
6,3,8,6,5,6,5,33.660000000000004
4,8,3,6,6,6,5,25.339999999999996
4,5,6,4,3,8,5,9.379999999999999
6,5,3,6,3,6,6,10.399999999999999
8,5,4,5,5,4,5,42.559999999999995
