episode_num,layer_num,quant_state,acc_state,reward,l1-bits,l2-bits,l3-bits,l4-bits,l5-bits,prob_2bits,prob_3bits,prob_4bits,prob_5bits,prob_8bits
0,0,0.9,0.0,0,4,8,8,8,8,0.22941335,0.17733099,0.17850067,0.22110844,0.19364658
0,1,0.825,0.0,0,4,5,8,8,8,0.22931348,0.17742263,0.1817423,0.21924262,0.19227901
0,2,0.75,0.0,0,4,5,5,8,8,0.2047131,0.17598452,0.23594059,0.20346962,0.17989221
0,3,0.675,0.0,0,4,5,5,5,8,0.20340584,0.1743348,0.21212684,0.21314935,0.19698322
0,4,0.6,0.9226666666666665,0.47725752600496535,4,5,5,5,5,0.20940062,0.16533014,0.20119604,0.22131085,0.20276237
1,0,0.9,0.0,0,4,8,8,8,8,0.22753797,0.17618178,0.17959313,0.22469586,0.19199121
1,1,0.9,0.0,0,4,8,8,8,8,0.22710839,0.17618091,0.1827515,0.22332619,0.190633
1,2,0.825,0.0,0,4,8,5,8,8,0.2030837,0.17455402,0.23591532,0.20816474,0.17828229
1,3,0.7,0.0,0,4,8,5,3,8,0.20216064,0.17338134,0.2113921,0.21741793,0.19564798
1,4,0.625,0.8959999999999998,0.4255252730172166,4,8,5,3,5,0.2075824,0.1643174,0.20068015,0.22617653,0.20124352
2,0,0.925,0.0,0,5,8,8,8,8,0.22505099,0.17557536,0.18076552,0.22685213,0.19175602
2,1,0.85,0.0,0,5,5,8,8,8,0.22444592,0.17576686,0.18320476,0.2258719,0.19071056
2,2,0.85,0.0,0,5,5,8,8,8,0.20081213,0.1756282,0.23380554,0.2115845,0.17816968
2,3,0.75,0.0,0,5,5,8,4,8,0.20023239,0.17371042,0.2103822,0.22107427,0.19460073
2,4,0.6,0.8853333333333332,0.43155390024404633,5,5,8,4,2,0.20483686,0.16426127,0.200038,0.23126748,0.19959638
3,0,0.85,0.0,0,2,8,8,8,8,0.22336651,0.17438653,0.1810186,0.22976513,0.1914632
3,1,0.85,0.0,0,2,8,8,8,8,0.22262347,0.17423946,0.18420283,0.2290899,0.18984435
3,2,0.7,0.0,0,2,8,2,8,8,0.19916694,0.17514098,0.23305532,0.21432711,0.17830965
3,3,0.7,0.0,0,2,8,2,8,8,0.19835043,0.17360607,0.2092732,0.2240049,0.19476545
3,4,0.55,0.12666666666666662,4.194936944262892e-15,2,8,2,8,2,0.2048313,0.16332923,0.19942947,0.23237239,0.2000376
4,0,1.0,0.0,0,8,8,8,8,8,0.22137952,0.17370376,0.18158351,0.23234093,0.19099224
4,1,0.9,0.0,0,8,4,8,8,8,0.2210496,0.1736768,0.18236528,0.23176953,0.19113873
4,2,0.75,0.0,0,8,4,2,8,8,0.19676743,0.1745785,0.2335601,0.2172262,0.17786779
4,3,0.75,0.0,0,8,4,2,8,8,0.19666435,0.17332672,0.20965075,0.22657256,0.19378565
4,4,0.675,0.5621333333333333,0.063849287315905,8,4,2,8,5,0.20267224,0.1630075,0.19947702,0.23653452,0.19830872
5,0,1.0,0.0,0,8,8,8,8,8,0.2196474,0.17324054,0.18202236,0.23462261,0.19046706
5,1,0.925,0.0,0,8,5,8,8,8,0.21920215,0.17319761,0.18272509,0.23420635,0.19066884
