tot_loss,sin2_loss
6.4400306,5.892489
6.1577272,5.675956
6.0147486,5.506156
5.7931423,5.3788443
5.5922937,5.2778287
5.515414,5.1937633
5.495385,5.1214294
5.361231,5.05736
5.229002,4.997931
5.2301903,4.94269
5.2817707,4.89113
5.14917,4.8418517
5.141685,4.7954693
5.1770334,4.750943
5.0816927,4.7076197
4.870116,4.6657043
4.901939,4.6253576
4.814615,4.585697
4.865271,4.5470934
4.8041205,4.5086308
4.70302,4.4719286
4.661039,4.434511
4.7090535,4.398206
4.695655,4.362807
4.6623073,4.3283772
4.676973,4.293243
4.631707,4.260513
4.399046,4.2261744
4.473762,4.1935296
4.4692507,4.1616025
4.4481697,4.1301913
4.3943725,4.0991883
4.2622857,4.0685244
4.209284,4.0391994
4.4419436,4.010393
4.24951,3.9821448
4.2971253,3.9539495
4.2535763,3.9267259
4.2084227,3.9003377
4.076638,3.8746533
3.9843664,3.8486698
4.055537,3.823206
4.038261,3.7981153
4.0519276,3.7742302
4.049842,3.7510002
3.8866498,3.7277806
4.0018535,3.703827
3.8563933,3.6817296
3.7410722,3.6602066
3.9902573,3.6383202
3.919427,3.6173942
3.8262641,3.5967226
3.7722692,3.5766609
3.7068636,3.556382
3.602653,3.5373065
3.7024112,3.5177503
3.6977992,3.4996355
3.7108812,3.481294
3.6530585,3.4617171
3.6425676,3.4433565
3.590008,3.4396422
3.6680183,3.4359326
3.816331,3.4323902
3.675314,3.4289901
3.638681,3.425724
3.7628803,3.4221652
3.6037617,3.4185822
3.5745475,3.4152265
3.6229773,3.4119878
3.657459,3.4084973
3.709326,3.4050286
3.6522927,3.4018137
3.5891826,3.3984292
3.815917,3.3948019
3.5793,3.3915064
3.6873064,3.390813
3.546779,3.3901942
3.7092164,3.3894584
3.5603392,3.3887994
3.6404986,3.3881395
3.581105,3.3874784
3.6663475,3.386802
3.7529728,3.3861706
3.4786143,3.3854818
3.6721058,3.3847966
3.6432705,3.3841472
3.6034777,3.3834455
3.5894768,3.3827288
3.5720656,3.3821123
3.5181808,3.381448
3.483007,3.380746
3.5965626,3.3799777
3.5905392,3.379307
3.567831,3.378576
3.5778906,3.3779323
3.7002406,3.3772898
3.5519006,3.3765895
3.6741166,3.3759732
3.6036289,3.375286
3.6409764,3.374675
3.6679165,3.3740408
3.5626256,3.3734045
3.642255,3.3727624
3.4646015,3.372072
3.637199,3.3714027
3.481811,3.3707345
3.5628445,3.3700309
3.5635116,3.369366
3.609673,3.3686652
3.6929357,3.368039
3.565791,3.367468
3.558927,3.3669183
3.4902804,3.3664455
3.5711613,3.365961
3.6019087,3.365503
3.6101809,3.3649704
3.7458367,3.3644552
3.6063793,3.3639247
3.7647765,3.3633723
3.6459303,3.3627715
3.5553448,3.3623354
3.7293794,3.3618453
3.4481685,3.361257
3.518964,3.3606436
3.5867493,3.3599925
3.5488687,3.3594012
3.6390245,3.3587723
3.508401,3.3582113
3.5840855,3.3577056
3.6187296,3.3571677
3.4787083,3.3565986
3.5918512,3.3559787
3.5804734,3.355479
3.5481648,3.3548985
3.4816902,3.3543785
3.6210146,3.3537283
3.586377,3.353195
3.6643589,3.352565
3.5067282,3.3519542
3.5885563,3.3513558
3.8126576,3.3508294
3.546634,3.3503003
3.6463876,3.3497305
3.5107954,3.349128
3.4842987,3.3485081
3.583483,3.3479166
3.550683,3.347344
3.4211617,3.3465555
3.5420413,3.3460252
3.5592031,3.3455427
3.6874433,3.3449707
3.5826774,3.344216
3.5331533,3.3435955
3.5687466,3.3427935
3.608374,3.342182
3.528231,3.3416243
3.6057749,3.340992
3.600301,3.3402421
3.5141118,3.3396618
3.5726306,3.339089
3.4745617,3.3384845
3.6779575,3.3378847
3.6265395,3.337371
3.5238557,3.336693
3.5093274,3.3361073
3.4837687,3.335475
3.5739026,3.3347669
3.6503215,3.3341076
3.5959697,3.33367
3.445535,3.3328001
3.5165684,3.3320441
3.7072487,3.3313675
3.5559103,3.330691
3.477791,3.3300092
3.5263612,3.3294995
3.512029,3.328911
3.5491428,3.3283083
3.4699874,3.327546
3.5100892,3.3270411
3.6879447,3.3265429
3.485575,3.3261225
3.692961,3.325395
3.7576032,3.3245847
3.519267,3.3239546
3.6553576,3.3235505
3.5379581,3.3229177
3.5917025,3.3221843
3.4876885,3.3215318
3.4943962,3.3208983
3.6358528,3.320227
3.487488,3.3194468
3.761272,3.3186352
3.673748,3.318012
3.4718106,3.3173409
3.4872484,3.3166049
3.5616767,3.3159215
3.5882466,3.3152294
3.4379792,3.3146462
3.4417253,3.3140185
3.5389278,3.3133054
3.5724058,3.3125143
3.556826,3.3118296
3.5125833,3.3112075
3.658861,3.3104799
3.4364727,3.309917
3.5593247,3.3093705
3.6611986,3.308684
3.753796,3.3080308
3.5728016,3.307469
3.537765,3.3068585
3.4329505,3.3060598
3.6006253,3.3053577
3.5462801,3.3047476
3.4435525,3.304142
3.5753965,3.3035119
3.6674511,3.3028002
3.4272013,3.3021882
3.476291,3.3016682
3.624816,3.3009543
3.536617,3.3003829
3.4177113,3.2997184
3.5907135,3.2991035
3.5405445,3.2983913
3.633164,3.2977006
3.441141,3.297217
3.557404,3.2966757
3.498644,3.2961547
3.506581,3.2954128
3.485836,3.2947774
3.3889074,3.294088
3.5209873,3.2934723
3.538067,3.2928348
3.4377313,3.2922282
3.454531,3.2917125
3.4538033,3.2911024
3.582638,3.290544
3.4245958,3.2899384
3.456402,3.2894545
3.41985,3.2887597
3.4907289,3.2881694
3.5138748,3.2875562
3.4529142,3.2869477
3.4444737,3.2862668
3.592808,3.2855108
3.4369292,3.2849457
3.4848695,3.28418
3.4084918,3.2835162
3.5476937,3.2828743
3.451155,3.2822437
3.3967075,3.2816522
3.6203287,3.2810419
3.5776894,3.2804246
3.6890695,3.2797935
3.4517891,3.2790828
3.5123045,3.2785923
3.437253,3.277854
3.4008296,3.2771933
3.4742842,3.276642
3.6051135,3.2760253
3.4294732,3.2752247
3.3972437,3.2746472
3.469333,3.2739172
3.4741273,3.273339
3.4124012,3.2726774
