tot_loss,sin2_loss
344.8319,344.15756
344.5073,343.9109
344.24036,343.64676
343.83698,343.364
343.44943,343.0614
343.15466,342.7381
342.74588,342.39288
342.50317,342.02505
342.0184,341.63364
341.55493,341.2179
341.10626,340.7771
340.63177,340.31073
340.15677,339.8183
339.6496,339.29953
339.0404,338.7542
338.5596,338.1823
337.84424,337.58395
337.2727,336.95935
336.67657,336.30905
335.90903,335.6335
335.30435,334.93347
334.5603,334.20996
333.8452,333.4641
333.00763,332.69702
332.20786,331.91
331.46823,331.10446
330.47522,330.28207
329.6761,329.4444
328.89175,328.59308
327.99802,327.72998
326.9756,326.8568
326.31256,325.97546
325.3845,325.0877
324.4609,324.19534
323.51413,323.30014
322.59387,322.40396
321.8011,321.5084
320.91702,320.61505
320.00504,319.72568
319.04108,318.8416
318.25775,317.96423
317.3961,317.09494
316.50217,316.23495
315.66547,315.3853
314.78574,314.54715
313.92078,313.7212
313.173,312.90842
312.26544,312.10947
311.55075,311.3249
310.741,310.55542
