lambda_w,lambda_b,total_loss,acc_loss,loss_sin2_total,loss_bits_total,sin2_loss,sin2_loss_2,nbits,nbits_2
0.0,0.0,6.1317153,6.1317153,0.0,0.0,0.0019533215,0.0019531023,8.0,8.0
0.0,0.0,5.117049,5.117049,0.0,0.0,0.0019575565,0.0019532926,8.0,8.0
0.0,0.0,4.542645,4.542645,0.0,0.0,0.0019522046,0.001952881,8.0,8.0
0.0,0.0,4.5616436,4.5616436,0.0,0.0,0.0019663176,0.0019531219,8.0,8.0
0.0,0.0,4.880102,4.880102,0.0,0.0,0.0019779296,0.0019533,8.0,8.0
0.0,0.0,5.3555446,5.3555446,0.0,0.0,0.001963323,0.0019528385,8.0,8.0
0.0,0.0,5.175949,5.175949,0.0,0.0,0.0019607628,0.00195219,8.0,8.0
0.0,0.0,4.6058216,4.6058216,0.0,0.0,0.0019732884,0.0019525224,8.0,8.0
0.0,0.0,5.380838,5.380838,0.0,0.0,0.0019691458,0.0019527109,8.0,8.0
0.0,0.0,4.59442,4.59442,0.0,0.0,0.0019821827,0.001952849,8.0,8.0
0.0,0.0,4.142206,4.142206,0.0,0.0,0.0019531734,0.0019529774,8.0,8.0
0.0,0.0,5.156866,5.156866,0.0,0.0,0.0019491084,0.0019519349,8.0,8.0
0.0,0.0,6.7866073,6.7866073,0.0,0.0,0.0019509464,0.0019512165,8.0,8.0
0.0,0.0,6.378288,6.378288,0.0,0.0,0.0019513634,0.0019509963,8.0,8.0
0.0,0.0,5.340371,5.340371,0.0,0.0,0.001968949,0.0019517457,8.0,8.0
0.0,0.0,4.447805,4.447805,0.0,0.0,0.0019615672,0.0019512904,8.0,8.0
0.0,0.0,4.9625845,4.9625845,0.0,0.0,0.0019548358,0.00195213,8.0,8.0
0.0,0.0,4.8324122,4.8324122,0.0,0.0,0.001961564,0.0019513454,8.0,8.0
0.0,0.0,5.576328,5.576328,0.0,0.0,0.0019750753,0.001952949,8.0,8.0
0.0,0.0,5.363108,5.363108,0.0,0.0,0.0019941078,0.001951505,8.0,8.0
0.0,0.0,4.874911,4.874911,0.0,0.0,0.0019850375,0.001951977,8.0,8.0
0.0,0.0,5.3029623,5.3029623,0.0,0.0,0.0019725377,0.0019515427,8.0,8.0
0.0,0.0,4.486933,4.486933,0.0,0.0,0.0019823508,0.0019525109,8.0,8.0
0.0,0.0,4.3971615,4.3971615,0.0,0.0,0.0019976753,0.0019515629,8.0,8.0
0.0,0.0,6.370022,6.370022,0.0,0.0,0.0019794083,0.0019510067,8.0,8.0
0.0,0.0,5.007265,5.007265,0.0,0.0,0.001961635,0.0019515888,8.0,8.0
0.0,0.0,4.894578,4.894578,0.0,0.0,0.001964596,0.0019507929,8.0,8.0
0.0,0.0,4.9167757,4.9167757,0.0,0.0,0.0019708727,0.0019513476,8.0,8.0
0.0,0.0,4.6827836,4.6827836,0.0,0.0,0.001980097,0.0019509275,8.0,8.0
0.0,0.0,5.071217,5.071217,0.0,0.0,0.0019699587,0.0019517557,8.0,8.0
0.0,0.0,4.9425154,4.9425154,0.0,0.0,0.0019663924,0.0019522922,8.0,8.0
0.0,0.0,3.9794645,3.9794645,0.0,0.0,0.0019724641,0.0019520948,8.0,8.0
0.0,0.0,5.4821887,5.4821887,0.0,0.0,0.0019754884,0.0019514636,8.0,8.0
0.0,0.0,5.935612,5.935612,0.0,0.0,0.0019424809,0.0019505561,8.0,8.0
0.0,0.0,5.418868,5.418868,0.0,0.0,0.001974763,0.0019515236,8.0,8.0
0.0,0.0,5.4830527,5.4830527,0.0,0.0,0.0019589195,0.0019508775,8.0,8.0
0.0,0.0,5.661715,5.661715,0.0,0.0,0.001956739,0.001951241,8.0,8.0
0.0,0.0,5.4197674,5.4197674,0.0,0.0,0.0019475009,0.001951433,8.0,8.0
0.0,0.0,4.661794,4.661794,0.0,0.0,0.0019704353,0.0019519129,8.0,8.0
0.0,0.0,4.3318024,4.3318024,0.0,0.0,0.0019524079,0.0019515838,8.0,8.0
0.0,0.0,5.1587048,5.1587048,0.0,0.0,0.0019755294,0.0019515952,8.0,8.0
0.0,0.0,5.8220935,5.8220935,0.0,0.0,0.0019567348,0.0019486265,8.0,8.0
0.0,0.0,5.8782415,5.8782415,0.0,0.0,0.0019529433,0.0019508175,8.0,8.0
0.0,0.0,5.2140326,5.2140326,0.0,0.0,0.001977565,0.0019508336,8.0,8.0
0.0,0.0,5.4203534,5.4203534,0.0,0.0,0.0019750588,0.0019491661,8.0,8.0
0.0,0.0,4.977138,4.977138,0.0,0.0,0.0019686264,0.0019507319,8.0,8.0
0.0,0.0,5.053278,5.053278,0.0,0.0,0.0019766137,0.0019488324,8.0,8.0
0.0,0.0,4.800779,4.800779,0.0,0.0,0.001977798,0.0019511352,8.0,8.0
0.0,0.0,6.7187734,6.7187734,0.0,0.0,0.0019556247,0.0019479664,8.0,8.0
0.0,0.0,4.3900104,4.3900104,0.0,0.0,0.0019503844,0.0019491891,8.0,8.0
0.0,0.0,4.514006,4.514006,0.0,0.0,0.0019613765,0.0019487292,8.0,8.0
0.0,0.0,5.687855,5.687855,0.0,0.0,0.0019487265,0.0019493278,8.0,8.0
0.0,0.0,5.689813,5.689813,0.0,0.0,0.0019801727,0.0019460866,8.0,8.0
0.0,0.0,6.3849416,6.3849416,0.0,0.0,0.0019692867,0.001948962,8.0,8.0
0.0,0.0,5.628003,5.628003,0.0,0.0,0.001968195,0.001948913,8.0,8.0
0.0,0.0,4.5484185,4.5484185,0.0,0.0,0.0019583483,0.0019507366,8.0,8.0
0.0,0.0,4.6931,4.6931,0.0,0.0,0.0019606538,0.0019496586,8.0,8.0
0.0,0.0,5.2666845,5.2666845,0.0,0.0,0.0019381016,0.0019509407,8.0,8.0
0.0,0.0,6.0617867,6.0617867,0.0,0.0,0.0019456263,0.001949305,8.0,8.0
0.0,0.0,5.1307015,5.1307015,0.0,0.0,0.001945709,0.0019499232,8.0,8.0
0.0,0.0,5.5234094,5.5234094,0.0,0.0,0.001929455,0.0019481317,8.0,8.0
0.0,0.0,5.2750454,5.2750454,0.0,0.0,0.0019335845,0.0019484904,8.0,8.0
0.0,0.0,5.0847435,5.0847435,0.0,0.0,0.0019339604,0.0019491517,8.0,8.0
0.0,0.0,4.6042886,4.6042886,0.0,0.0,0.0019299507,0.0019488886,8.0,8.0
0.0,0.0,4.655636,4.655636,0.0,0.0,0.0019382668,0.0019507245,8.0,8.0
0.0,0.0,4.6310883,4.6310883,0.0,0.0,0.0019359635,0.0019498206,8.0,8.0
0.0,0.0,4.901179,4.901179,0.0,0.0,0.001953483,0.0019494961,8.0,8.0
0.0,0.0,5.760354,5.760354,0.0,0.0,0.0019189849,0.0019499218,8.0,8.0
0.0,0.0,9.259196,9.259196,0.0,0.0,0.0019605474,0.0019496755,8.0,8.0
0.0,0.0,9.200137,9.200137,0.0,0.0,0.001962872,0.0019498459,8.0,8.0
0.0,0.0,7.293397,7.293397,0.0,0.0,0.0019066064,0.0019514544,8.0,8.0
0.0,0.0,6.308376,6.308376,0.0,0.0,0.0019160336,0.0019526891,8.0,8.0
0.0,0.0,5.6040487,5.6040487,0.0,0.0,0.0019170643,0.0019509329,8.0,8.0
0.0,0.0,5.7478867,5.7478867,0.0,0.0,0.0019274118,0.0019528902,8.0,8.0
0.0,0.0,5.5932035,5.5932035,0.0,0.0,0.0019532782,0.0019498356,8.0,8.0
0.0,0.0,5.7394524,5.7394524,0.0,0.0,0.0019386207,0.0019518221,8.0,8.0
0.0,0.0,4.051318,4.051318,0.0,0.0,0.0019549516,0.0019513019,8.0,8.0
0.0,0.0,5.743277,5.743277,0.0,0.0,0.001946066,0.0019492575,8.0,8.0
0.0,0.0,5.2349505,5.2349505,0.0,0.0,0.0019525014,0.0019521677,8.0,8.0
0.0,0.0,4.782777,4.782777,0.0,0.0,0.0019428171,0.0019497339,8.0,8.0
0.0,0.0,5.4292846,5.4292846,0.0,0.0,0.001951593,0.0019500506,8.0,8.0
0.0,0.0,4.8915677,4.8915677,0.0,0.0,0.0019418384,0.0019500407,8.0,8.0
0.0,0.0,5.8574915,5.8574915,0.0,0.0,0.0019283689,0.0019467537,8.0,8.0
0.0,0.0,7.1867514,7.1867514,0.0,0.0,0.0019679712,0.0019499691,8.0,8.0
0.0,0.0,5.62525,5.62525,0.0,0.0,0.001957747,0.0019511696,8.0,8.0
0.0,0.0,5.866218,5.866218,0.0,0.0,0.0019656986,0.0019490691,8.0,8.0
0.0,0.0,4.4650464,4.4650464,0.0,0.0,0.001973964,0.0019503874,8.0,8.0
0.0,0.0,5.4470787,5.4470787,0.0,0.0,0.0019860202,0.0019503194,8.0,8.0
0.0,0.0,5.2437696,5.2437696,0.0,0.0,0.0019863453,0.001949774,8.0,8.0
0.0,0.0,5.219324,5.219324,0.0,0.0,0.0019712206,0.0019511086,8.0,8.0
0.0,0.0,5.2485304,5.2485304,0.0,0.0,0.0019781073,0.0019502413,8.0,8.0
0.0,0.0,5.115839,5.115839,0.0,0.0,0.0019622636,0.0019503005,8.0,8.0
0.0,0.0,5.671293,5.671293,0.0,0.0,0.0019763904,0.00194935,8.0,8.0
0.0,0.0,4.789667,4.789667,0.0,0.0,0.0019458294,0.0019494893,8.0,8.0
0.0,0.0,6.285823,6.285823,0.0,0.0,0.0019514789,0.0019510225,8.0,8.0
0.0,0.0,6.663993,6.663993,0.0,0.0,0.0019416779,0.0019497228,8.0,8.0
0.0,0.0,5.047573,5.047573,0.0,0.0,0.0019669002,0.0019498388,8.0,8.0
0.0,0.0,5.6373777,5.6373777,0.0,0.0,0.001955835,0.0019494231,8.0,8.0
0.0,0.0,5.106604,5.106604,0.0,0.0,0.001966048,0.0019501647,8.0,8.0
0.0,0.0,5.800126,5.800126,0.0,0.0,0.0019536896,0.0019486634,8.0,8.0
0.0,0.0,4.9180746,4.9180746,0.0,0.0,0.001932259,0.0019501268,8.0,8.0
0.0,0.0,4.795858,4.795858,0.0,0.0,0.0019285631,0.0019499,8.0,8.0
0.0,0.0,4.66931,4.66931,0.0,0.0,0.0019452946,0.0019496524,8.0,8.0
0.0,0.0,5.070218,5.070218,0.0,0.0,0.0019391291,0.001948895,8.0,8.0
0.0,0.0,5.064149,5.064149,0.0,0.0,0.0019197736,0.0019490548,8.0,8.0
0.0,0.0,5.0632753,5.0632753,0.0,0.0,0.0019176679,0.0019496556,8.0,8.0
0.0,0.0,4.2464504,4.2464504,0.0,0.0,0.0019240145,0.001950578,8.0,8.0
0.0,0.0,5.3091393,5.3091393,0.0,0.0,0.0019186304,0.0019500691,8.0,8.0
0.0,0.0,4.9003563,4.9003563,0.0,0.0,0.001926826,0.0019514078,8.0,8.0
0.0,0.0,4.9123287,4.9123287,0.0,0.0,0.0019420867,0.0019493826,8.0,8.0
0.0,0.0,4.7621875,4.7621875,0.0,0.0,0.001924145,0.0019494764,8.0,8.0
0.0,0.0,5.5183196,5.5183196,0.0,0.0,0.0019323335,0.0019491942,8.0,8.0
0.0,0.0,4.6210966,4.6210966,0.0,0.0,0.0019349483,0.0019507658,8.0,8.0
0.0,0.0,5.7091928,5.7091928,0.0,0.0,0.0019497959,0.0019489088,8.0,8.0
0.0,0.0,4.3035765,4.3035765,0.0,0.0,0.0019247055,0.0019482155,8.0,8.0
0.0,0.0,5.173674,5.173674,0.0,0.0,0.0019486123,0.0019482453,8.0,8.0
0.0,0.0,5.1816106,5.1816106,0.0,0.0,0.0019684015,0.0019488028,8.0,8.0
0.0,0.0,4.698782,4.698782,0.0,0.0,0.0019754171,0.0019474229,8.0,8.0
0.0,0.0,5.162493,5.162493,0.0,0.0,0.001967796,0.0019480473,8.0,8.0
0.0,0.0,5.473003,5.473003,0.0,0.0,0.001960216,0.0019477783,8.0,8.0
0.0,0.0,5.2961774,5.2961774,0.0,0.0,0.0019606869,0.0019470443,8.0,8.0
0.0,0.0,4.213401,4.213401,0.0,0.0,0.0019535536,0.0019469984,8.0,8.0
0.0,0.0,3.904019,3.904019,0.0,0.0,0.0019333903,0.0019475466,8.0,8.0
0.0,0.0,3.7454984,3.7454984,0.0,0.0,0.0019272619,0.001948295,8.0,8.0
0.0,0.0,4.9125304,4.9125304,0.0,0.0,0.0019502835,0.0019473861,8.0,8.0
0.0,0.0,4.8651004,4.8651004,0.0,0.0,0.0019470613,0.0019476871,8.0,8.0
0.0,0.0,5.3155165,5.3155165,0.0,0.0,0.001956229,0.0019484955,8.0,8.0
0.0,0.0,4.572147,4.572147,0.0,0.0,0.001920576,0.0019474744,8.0,8.0
0.0,0.0,4.1829104,4.1829104,0.0,0.0,0.0019111845,0.0019473585,8.0,8.0
0.0,0.0,4.361471,4.361471,0.0,0.0,0.0019291411,0.0019470585,8.0,8.0
0.0,0.0,4.799198,4.799198,0.0,0.0,0.0019394165,0.0019458934,8.0,8.0
0.0,0.0,5.3327217,5.3327217,0.0,0.0,0.0019304866,0.0019464765,8.0,8.0
0.0,0.0,3.9732013,3.9732013,0.0,0.0,0.0019427263,0.0019473324,8.0,8.0
0.0,0.0,4.9438105,4.9438105,0.0,0.0,0.0019412126,0.0019474344,8.0,8.0
0.0,0.0,4.9453435,4.9453435,0.0,0.0,0.0019335442,0.0019464043,8.0,8.0
0.0,0.0,4.480984,4.480984,0.0,0.0,0.0019505828,0.001946311,8.0,8.0
0.0,0.0,5.016805,5.016805,0.0,0.0,0.0019194632,0.0019473695,8.0,8.0
0.0,0.0,5.0775976,5.0775976,0.0,0.0,0.0019222021,0.0019473422,8.0,8.0
0.0,0.0,4.3334527,4.3334527,0.0,0.0,0.0019344257,0.0019466048,8.0,8.0
0.0,0.0,4.7387857,4.7387857,0.0,0.0,0.0019274488,0.0019478846,8.0,8.0
0.0,0.0,5.395349,5.395349,0.0,0.0,0.0019362106,0.001947676,8.0,8.0
0.0,0.0,5.1365995,5.1365995,0.0,0.0,0.0019299444,0.001947513,8.0,8.0
0.0,0.0,4.8065715,4.8065715,0.0,0.0,0.001958192,0.0019475509,8.0,8.0
0.0,0.0,4.060416,4.060416,0.0,0.0,0.0019438397,0.0019475413,8.0,8.0
0.0,0.0,4.4995804,4.4995804,0.0,0.0,0.0019703135,0.0019478579,8.0,8.0
0.0,0.0,4.749852,4.749852,0.0,0.0,0.0019720395,0.0019474431,8.0,8.0
0.0,0.0,5.2133837,5.2133837,0.0,0.0,0.0019484406,0.0019484308,8.0,8.0
0.0,0.0,4.873298,4.873298,0.0,0.0,0.0019801045,0.00194764,8.0,8.0
0.0,0.0,5.3637037,5.3637037,0.0,0.0,0.0019388408,0.0019479801,8.0,8.0
0.0,0.0,5.250107,5.250107,0.0,0.0,0.001927082,0.0019476267,8.0,8.0
0.0,0.0,5.6686516,5.6686516,0.0,0.0,0.0019245675,0.0019482434,8.0,8.0
0.0,0.0,5.4634175,5.4634175,0.0,0.0,0.0019185235,0.0019483867,8.0,8.0
0.0,0.0,4.5594273,4.5594273,0.0,0.0,0.001912872,0.0019483739,8.0,8.0
0.0,0.0,5.7978525,5.7978525,0.0,0.0,0.0019107817,0.0019475925,8.0,8.0
0.0,0.0,5.7836895,5.7836895,0.0,0.0,0.0018945484,0.0019486956,8.0,8.0
0.0,0.0,5.6634398,5.6634398,0.0,0.0,0.0019018179,0.0019489328,8.0,8.0
0.0,0.0,5.273038,5.273038,0.0,0.0,0.001902727,0.0019499201,8.0,8.0
0.0,0.0,5.4343214,5.4343214,0.0,0.0,0.0019100017,0.0019502277,8.0,8.0
0.0,0.0,4.904035,4.904035,0.0,0.0,0.0019062978,0.0019498968,8.0,8.0
0.0,0.0,4.6535654,4.6535654,0.0,0.0,0.0019120725,0.0019491672,8.0,8.0
0.0,0.0,4.0464563,4.0464563,0.0,0.0,0.0019160892,0.0019491891,8.0,8.0
0.0,0.0,5.2843113,5.2843113,0.0,0.0,0.001923935,0.0019486761,8.0,8.0
0.0,0.0,4.8566556,4.8566556,0.0,0.0,0.0019050594,0.0019478429,8.0,8.0
0.0,0.0,4.6569233,4.6569233,0.0,0.0,0.0019009426,0.0019483169,8.0,8.0
0.0,0.0,4.8732896,4.8732896,0.0,0.0,0.0019001178,0.0019480718,8.0,8.0
0.0,0.0,5.874165,5.874165,0.0,0.0,0.0019021551,0.0019483027,8.0,8.0
0.0,0.0,5.1379533,5.1379533,0.0,0.0,0.0019236732,0.0019479445,8.0,8.0
0.0,0.0,4.9758925,4.9758925,0.0,0.0,0.001923196,0.0019493534,8.0,8.0
0.0,0.0,5.1081085,5.1081085,0.0,0.0,0.0019553923,0.0019481275,8.0,8.0
0.0,0.0,5.270776,5.270776,0.0,0.0,0.001940824,0.0019479442,8.0,8.0
0.0,0.0,5.038323,5.038323,0.0,0.0,0.0019314587,0.0019478464,8.0,8.0
