lambda_w,lambda_b,total_loss,acc_loss,loss_sin2_total,loss_bits_total,sin2_loss,sin2_loss_2,nbits,nbits_2
0.0,0.0,6.028549,6.028549,0.0,0.0,7.718584e-06,7.631123e-06,8.0,8.0
0.0,0.0,5.2273498,5.2273498,0.0,0.0,7.690428e-06,7.6278143e-06,8.0,8.0
0.0,0.0,5.1593246,5.1593246,0.0,0.0,7.690679e-06,7.62939e-06,8.0,8.0
0.0,0.0,5.0662775,5.0662775,0.0,0.0,7.728891e-06,7.6292704e-06,8.0,8.0
0.0,0.0,5.297331,5.297331,0.0,0.0,7.706534e-06,7.630657e-06,8.0,8.0
0.0,0.0,4.9392056,4.9392056,0.0,0.0,7.750224e-06,7.628876e-06,8.0,8.0
0.0,0.0,6.119491,6.119491,0.0,0.0,7.794819e-06,7.630212e-06,8.0,8.0
0.0,0.0,4.5698886,4.5698886,0.0,0.0,7.6554725e-06,7.633615e-06,8.0,8.0
0.0,0.0,6.8333745,6.8333745,0.0,0.0,7.651559e-06,7.624729e-06,8.0,8.0
0.0,0.0,8.308076,8.308076,0.0,0.0,7.577699e-06,7.63103e-06,8.0,8.0
0.0,0.0,6.1519957,6.1519957,0.0,0.0,7.5128555e-06,7.626405e-06,8.0,8.0
0.0,0.0,5.9240623,5.9240623,0.0,0.0,7.554328e-06,7.631367e-06,8.0,8.0
0.0,0.0,5.028677,5.028677,0.0,0.0,7.57686e-06,7.625646e-06,8.0,8.0
0.0,0.0,5.1419516,5.1419516,0.0,0.0,7.66395e-06,7.6237834e-06,8.0,8.0
0.0,0.0,4.0837927,4.0837927,0.0,0.0,7.6050032e-06,7.622494e-06,8.0,8.0
0.0,0.0,5.1046276,5.1046276,0.0,0.0,7.6284327e-06,7.63057e-06,8.0,8.0
0.0,0.0,5.817856,5.817856,0.0,0.0,7.677047e-06,7.6205083e-06,8.0,8.0
0.0,0.0,5.544411,5.544411,0.0,0.0,7.693262e-06,7.623824e-06,8.0,8.0
0.0,0.0,5.066267,5.066267,0.0,0.0,7.658102e-06,7.620668e-06,8.0,8.0
0.0,0.0,6.5448136,6.5448136,0.0,0.0,7.693721e-06,7.621688e-06,8.0,8.0
0.0,0.0,5.1892877,5.1892877,0.0,0.0,7.675517e-06,7.6276438e-06,8.0,8.0
0.0,0.0,5.181034,5.181034,0.0,0.0,7.668755e-06,7.6285446e-06,8.0,8.0
0.0,0.0,5.774978,5.774978,0.0,0.0,7.668788e-06,7.624803e-06,8.0,8.0
0.0,0.0,4.6433473,4.6433473,0.0,0.0,7.727092e-06,7.629241e-06,8.0,8.0
0.0,0.0,5.3922443,5.3922443,0.0,0.0,7.641699e-06,7.6283072e-06,8.0,8.0
0.0,0.0,5.024854,5.024854,0.0,0.0,7.697466e-06,7.6276438e-06,8.0,8.0
0.0,0.0,4.076453,4.076453,0.0,0.0,7.707161e-06,7.625272e-06,8.0,8.0
0.0,0.0,6.413427,6.413427,0.0,0.0,7.745564e-06,7.627442e-06,8.0,8.0
0.0,0.0,5.438559,5.438559,0.0,0.0,7.715535e-06,7.6227284e-06,8.0,8.0
0.0,0.0,4.7505302,4.7505302,0.0,0.0,7.759757e-06,7.622599e-06,8.0,8.0
0.0,0.0,4.2948966,4.2948966,0.0,0.0,7.790073e-06,7.622908e-06,8.0,8.0
0.0,0.0,6.044506,6.044506,0.0,0.0,7.797924e-06,7.6239958e-06,8.0,8.0
0.0,0.0,6.1256495,6.1256495,0.0,0.0,7.75034e-06,7.623934e-06,8.0,8.0
0.0,0.0,5.6546187,5.6546187,0.0,0.0,7.719874e-06,7.62566e-06,8.0,8.0
0.0,0.0,6.008844,6.008844,0.0,0.0,7.728578e-06,7.6221418e-06,8.0,8.0
0.0,0.0,5.5456734,5.5456734,0.0,0.0,7.755485e-06,7.6181736e-06,8.0,8.0
0.0,0.0,4.905255,4.905255,0.0,0.0,7.711734e-06,7.615304e-06,8.0,8.0
0.0,0.0,5.3210297,5.3210297,0.0,0.0,7.733042e-06,7.622467e-06,8.0,8.0
0.0,0.0,4.652085,4.652085,0.0,0.0,7.705537e-06,7.621639e-06,8.0,8.0
0.0,0.0,5.1262436,5.1262436,0.0,0.0,7.734613e-06,7.621027e-06,8.0,8.0
0.0,0.0,4.804799,4.804799,0.0,0.0,7.697269e-06,7.621247e-06,8.0,8.0
0.0,0.0,5.8631063,5.8631063,0.0,0.0,7.688525e-06,7.624898e-06,8.0,8.0
0.0,0.0,5.487141,5.487141,0.0,0.0,7.690414e-06,7.6219144e-06,8.0,8.0
0.0,0.0,5.01039,5.01039,0.0,0.0,7.706526e-06,7.62149e-06,8.0,8.0
0.0,0.0,5.7772856,5.7772856,0.0,0.0,7.693338e-06,7.6232036e-06,8.0,8.0
0.0,0.0,3.775257,3.775257,0.0,0.0,7.67345e-06,7.6259294e-06,8.0,8.0
0.0,0.0,6.03689,6.03689,0.0,0.0,7.79064e-06,7.625599e-06,8.0,8.0
0.0,0.0,5.3046284,5.3046284,0.0,0.0,7.880028e-06,7.6210677e-06,8.0,8.0
0.0,0.0,5.089822,5.089822,0.0,0.0,7.867383e-06,7.6289134e-06,8.0,8.0
0.0,0.0,4.8949366,4.8949366,0.0,0.0,7.787788e-06,7.629549e-06,8.0,8.0
0.0,0.0,4.915055,4.915055,0.0,0.0,7.854973e-06,7.62799e-06,8.0,8.0
