w11,w12,w13,w21,w22,w23,w31,w32,w33,w41,w42,w43
0.014985245,0.058793914,0.025953174,0.025518328,0.009785521,0.013785339,-0.0054509146,0.016882446,0.02695162,-0.022223288,-0.002048667,-0.005440144
0.014886871,0.059330918,0.025741214,0.025659628,0.00982423,0.013960973,-0.005430762,0.016881479,0.026928617,-0.022188779,-0.0020741841,-0.005441674
0.014885636,0.059346847,0.025746787,0.025691696,0.009856262,0.0140020475,-0.0054982714,0.016877826,0.026931554,-0.02218066,-0.0020600858,-0.005435509
0.014881651,0.059641745,0.02569381,0.02572941,0.009832644,0.014046998,-0.0054796105,0.01687813,0.02688771,-0.022165632,-0.0020355817,-0.005427226
0.014913839,0.05909837,0.025778964,0.025686199,0.009884553,0.013899652,-0.0055248537,0.016878646,0.026874054,-0.02213959,-0.0020363256,-0.0054116556
0.014929514,0.059216335,0.025784785,0.025653137,0.009875914,0.01395725,-0.0055474355,0.016880944,0.02688976,-0.022135664,-0.002023413,-0.005406934
0.014974875,0.05910779,0.025844162,0.025734404,0.009921592,0.013957218,-0.0055145393,0.0168823,0.02687108,-0.022012696,-0.0020423431,-0.005402236
0.014951113,0.059779998,0.025702193,0.025948226,0.0099854665,0.01430918,-0.005476647,0.016885579,0.02687843,-0.02222741,-0.0020301125,-0.005395096
0.014908105,0.059899226,0.025700975,0.026042322,0.009969987,0.014493897,-0.0054782773,0.016885204,0.026866848,-0.022148503,-0.0020366586,-0.005386713
0.014931804,0.059259642,0.02585899,0.025729567,0.009961525,0.014483328,-0.005572985,0.016874425,0.026867485,-0.02204117,-0.0020819332,-0.005375671
0.014942316,0.059282925,0.025847796,0.025899945,0.009980255,0.014368462,-0.005539986,0.016883405,0.026897226,-0.02199164,-0.0020969703,-0.005373663
0.014998059,0.059497774,0.025805967,0.025974281,0.00984528,0.014011476,-0.005526848,0.016883474,0.026878852,-0.02204763,-0.0020482473,-0.0053734514
0.014936508,0.059632976,0.02572436,0.026060179,0.009934171,0.014582838,-0.005553776,0.016866008,0.026919,-0.02206484,-0.0020407701,-0.0053765574
0.014924783,0.05959559,0.025745964,0.025987502,0.009834838,0.0141292205,-0.005496202,0.016896745,0.026807517,-0.022115503,-0.0020633298,-0.005370201
0.014948247,0.058995023,0.025767675,0.025932597,0.009894607,0.014310004,-0.0056207953,0.016913787,0.026855383,-0.022070903,-0.0021278467,-0.0053561423
0.014974419,0.059214022,0.025704097,0.026000934,0.009917431,0.0143898465,-0.005632207,0.01690233,0.026879508,-0.022071889,-0.0020962995,-0.0053529916
0.014988875,0.059095364,0.025615243,0.025946733,0.009858524,0.014365879,-0.005613442,0.016895795,0.02684784,-0.022027366,-0.0021207123,-0.005348747
0.015057705,0.059096806,0.0256292,0.025900664,0.009874431,0.014302259,-0.0056147976,0.0169048,0.026871132,-0.02215568,-0.0021310383,-0.005361394
0.01500205,0.059018884,0.025617527,0.025883608,0.009924873,0.014421197,-0.0056274193,0.01691153,0.026854068,-0.022175036,-0.0021327543,-0.005356256
0.014976324,0.059427153,0.02555385,0.026057415,0.010017877,0.014762887,-0.005537832,0.016915016,0.026876751,-0.022181945,-0.0021315573,-0.005360407
0.014935214,0.059389707,0.025496628,0.026077218,0.009971469,0.014617317,-0.0055772397,0.016921476,0.026869187,-0.022120735,-0.0020842056,-0.0053605917
